,Food&Drinks,AlcoholicItems,Cloothing&Footwear,Fuel&Power,HouseholdGoods,Health,Transport,Communication,Recreation&Culture,Education,Restaurants&Hotels,Goods&Services,AllExpenditure,OtherExpenditure,Total Exp,Income
569,516,97,214,627,400,77,770,160,777,71,458,412,4581,742,5323,5429
570,1936,414,759,2053,1169,210,2660,614,2439,65,1470,1294,15088,2087,17176,18035
571,3689,749,1336,4638,2715,562,5340,1106,4977,332,2999,2878,31328,4693,36021,44667
572,2493,554,961,2721,1682,285,3316,741,2946,244,1976,1780,19701,2844,22546,27957
573,2735,556,991,3440,2013,417,3960,820,3691,246,2224,2134,23232,3480,26712,29384
574,360,68,149,437,279,53,537,112,542,49,319,287,3198,518,3716,4199
575,62,14,30,52,30,6,74,17,51,4,44,38,428,51,479,527
576,19736,3992,8082,25709,13471,2467,26455,6135,24897,2402,16847,14575,164773,25319,190093,214805
577,1345,254,558,1634,1042,201,2006,418,2024,184,1193,1073,11933,1933,13866,15530
578,845,165,327,1026,513,112,1147,258,1065,48,655,629,6795,1044,7839,8153
579,5456,1030,2266,6626,4228,815,8134,1697,8208,750,4837,4351,48388,7838,56226,68595
580,8001,1569,3100,9713,4862,1067,10858,2444,10086,463,6200,5956,64311,9880,74192,74934
581,15026,3115,6180,18939,10042,1844,20010,4684,18714,1669,12609,10890,123752,18739,142492,148192
582,1299,262,532,1692,886,162,1741,403,1639,158,1109,959,10848,1667,12516,13016
583,42542,10258,18857,48803,27758,3922,55743,13426,51443,3168,36131,31077,342983,50085,393069,507059
584,62545,12653,25614,81473,42691,7818,83839,19442,78902,7612,53390,46189,522173,80239,602413,638558
585,7660,1549,3137,9978,5228,957,10268,2381,9663,932,6538,5656,63951,9827,73778,81156
586,19,3,8,23,14,2,28,6,29,2,17,15,171,27,199,219
587,14728,3150,5775,15621,8900,1601,20242,4673,18561,498,11184,9845,114784,15883,130668,134588
588,13894,2725,5383,16866,8444,1854,18854,4244,17513,804,10767,10343,111673,17156,128830,131406
589,168,37,64,183,113,19,223,50,198,16,133,120,1330,192,1522,1918
590,27719,5607,11352,36107,18920,3464,37156,8616,34968,3373,23661,20470,231417,35560,266978,299016
591,427,98,206,358,209,45,505,121,348,32,302,261,2917,349,3266,3952
592,4133,952,2002,3473,2028,440,4892,1172,3369,317,2922,2533,28224,3382,31607,33503
593,10248,2083,3712,12885,7543,1562,14834,3074,13826,924,8332,7996,87024,13036,100061,112068
594,11930,2413,4886,15541,8143,1491,15992,3708,15050,1452,10184,8810,99604,15305,114909,126400
595,6899,1533,2660,7530,4656,789,9176,2051,8150,676,5467,4926,54508,7869,62377,63625
596,215,47,82,234,145,24,286,63,254,21,170,153,1700,245,1945,2315
597,5741,1190,2361,7236,3837,704,7645,1790,7150,637,4817,4160,47282,7160,54442,66964
598,18314,3705,7500,23856,12500,2289,24549,5693,23103,2229,15633,13524,152901,23495,176396,218732
599,1727,398,836,1451,847,184,2044,490,1408,132,1221,1058,11795,1413,13208,14529
600,3858,784,1397,4851,2840,588,5585,1157,5205,347,3137,3010,32764,4908,37673,44077
601,29442,5956,12057,38352,20096,3680,39466,9152,37141,3583,25132,21742,245803,37771,283574,314768
602,7636,1544,3127,9947,5212,954,10236,2373,9633,929,6518,5639,63754,9796,73551,89732
603,887,167,368,1077,687,132,1322,276,1334,121,786,707,7867,1274,9142,9873
604,37665,7619,15425,49063,25708,4708,50488,11708,47515,4584,32151,27815,314454,48320,362775,438958
605,1048,241,507,880,514,111,1240,297,854,80,740,642,7155,857,8013,8333
606,427,98,207,359,209,45,506,121,348,32,302,262,2922,350,3272,3337
607,28096,5683,11506,36599,19177,3512,37661,8733,35443,3419,23983,20748,234566,36044,270610,316614
608,39959,8083,16364,52052,27274,4994,53563,12421,50409,4863,34110,29509,333608,51263,384871,400266
609,17999,3641,7371,23446,12285,2249,24127,5595,22706,2190,15364,13292,150273,23091,173365,218440
610,53693,8894,24398,105509,33537,6691,63811,17054,53774,15096,54264,40392,477037,82824,559862,604651
611,445,99,171,486,300,50,592,132,526,43,353,318,3520,508,4029,4311
612,2236,370,1016,4394,1396,278,2657,710,2239,628,2259,1682,19867,3449,23316,23782
613,10041,1896,4171,12195,7781,1501,14971,3124,15108,1380,8904,8009,89055,14425,103481,125212
614,782,173,301,853,527,89,1040,232,924,76,620,558,6181,892,7073,7214
615,432,87,177,563,295,54,580,134,546,52,369,319,3614,555,4169,4211
616,117,27,56,98,57,12,139,33,95,9,83,71,802,96,898,997
617,599,113,249,728,464,89,894,186,902,82,532,478,5321,861,6182,7419
618,6687,1430,2622,7092,4040,727,9190,2121,8427,226,5077,4470,52114,7211,59325,76530
619,457,86,190,555,354,68,682,142,688,62,405,364,4057,657,4714,5280
620,470,95,170,591,346,71,681,141,634,42,382,367,3996,598,4595,4686
621,180,34,74,218,139,26,268,56,271,24,159,143,1597,258,1856,2116
622,1612,395,658,1764,998,181,2058,517,1991,96,1250,1032,12565,1807,14373,16816
623,239,53,92,261,161,27,318,71,283,23,189,171,1893,273,2167,2578
624,656,145,253,717,443,75,873,195,776,64,520,469,5189,749,5939,6533
625,3494,776,1347,3814,2358,399,4648,1039,4128,342,2769,2495,27609,3985,31595,35387
626,1039,211,376,1307,765,158,1504,311,1402,93,845,811,8828,1322,10150,12790
627,6303,1275,2581,8210,4302,787,8448,1959,7951,767,5380,4654,52621,8086,60707,69207
628,81661,16520,33443,106374,55739,10207,109463,25384,103016,9939,69707,60305,681765,104762,786528,841584
629,19894,4024,8147,25915,13579,2486,26667,6184,25097,2421,16982,14691,166091,25522,191614,222272
630,1747,402,846,1467,857,186,2067,495,1423,134,1235,1070,11928,1429,13357,16163
631,46160,9338,18904,60130,31507,5770,61876,14349,58232,5618,39403,34089,385383,59219,444603,542415
632,2002,415,823,2524,1338,245,2667,624,2494,222,1680,1451,16494,2497,18991,21650
633,35449,7171,14518,46177,24196,4431,47518,11019,44720,4314,30260,26179,295957,45478,341435,351678
634,1604,302,666,1948,1243,239,2392,499,2414,220,1422,1279,14230,2305,16535,18850
635,117,22,48,142,90,17,174,36,176,16,103,93,1038,168,1206,1327
636,551,108,213,669,335,73,748,168,694,31,427,410,4431,680,5111,5980
637,7779,1573,3186,10134,5310,972,10428,2418,9814,946,6641,5745,64952,9980,74933,90669
638,216,49,104,181,106,23,256,61,176,16,153,132,1477,177,1654,1721
639,12085,2585,4739,12817,7302,1314,16609,3834,15230,409,9176,8078,94182,13033,107215,112576
640,319,64,115,401,235,48,462,95,431,28,259,249,2713,406,3120,3370
641,630,127,258,820,430,78,844,195,794,76,537,465,5260,808,6069,7101
642,29613,5990,12127,38575,20213,3701,39695,9205,37357,3604,25278,21869,247232,37990,285223,319450
643,595,143,264,683,388,54,780,187,720,44,505,435,4801,701,5502,6383
644,14987,3031,6137,19522,10229,1873,20089,4658,18906,1824,12793,11067,125123,19227,144351,154455
645,112,21,46,137,87,16,168,35,169,15,100,90,1000,162,1163,1395
646,576,117,208,724,424,87,834,172,777,51,468,449,4893,733,5626,6695
647,7353,1218,3341,14449,4592,916,8738,2335,7364,2067,7431,5531,65329,11342,76672,78205
648,1477,340,715,1241,724,157,1748,419,1204,113,1044,905,10089,1209,11298,14462
649,10382,2220,4071,11011,6273,1128,14268,3294,13084,351,7884,6940,80912,11196,92109,92109
650,1942,431,748,2120,1310,222,2583,577,2294,190,1539,1386,15344,2215,17560,18086
651,997,221,384,1088,673,114,1326,296,1178,97,790,712,7880,1137,9018,10641
652,10465,2117,4285,13632,7143,1308,14028,3253,13202,1273,8933,7728,87372,13425,100798,119949
653,17526,3545,7177,22829,11962,2190,23492,5448,22109,2133,14960,12942,146319,22484,168803,194123
654,181,34,75,220,140,27,270,56,273,24,160,144,1609,260,1869,2337
655,79,18,38,67,39,8,94,22,65,6,56,48,545,65,610,787
656,9192,1868,3330,11558,6766,1401,13306,2757,12402,828,7474,7173,78060,11694,89755,105013
657,2209,433,856,2682,1342,294,2998,674,2785,127,1712,1644,17759,2728,20487,20897
658,460,95,189,580,307,56,613,143,573,51,386,333,3793,574,4368,5329
659,2408,481,876,2765,1416,319,2861,764,2745,211,1686,1611,18151,2645,20797,22668
660,56377,9339,25618,110785,35214,7025,67002,17907,56463,15850,56977,42411,500889,86965,587855,646641
661,80048,16194,32783,104274,54638,10006,107302,24883,100982,9742,68331,59115,668302,102694,770996,817256
662,2501,490,969,3036,1520,333,3394,764,3153,144,1938,1862,20106,3088,23195,28066
663,4187,790,1739,5085,3244,626,6243,1303,6299,575,3712,3339,37135,6015,43150,50486
664,367,69,152,446,285,55,548,114,553,50,326,293,3262,528,3791,4284
665,1764,333,732,2142,1367,263,2630,548,2654,242,1564,1407,15644,2534,18179,19451
666,1968,398,806,2564,1343,246,2638,611,2483,239,1680,1453,16434,2525,18959,22941
667,17889,3619,7326,23303,12210,2236,23980,5561,22567,2177,15270,13211,149353,22950,172304,187811
668,20100,4466,7751,21940,13564,2299,26735,5977,23746,1970,15929,14352,158802,22925,181727,208986
669,639,125,247,775,388,85,867,195,805,37,495,475,5137,789,5927,7409
670,126,25,45,158,92,19,182,37,170,11,102,98,1072,160,1232,1454
671,18607,3980,7297,19735,11244,2023,25572,5903,23449,630,14129,12438,145011,20066,165078,201395
672,1799,384,705,1908,1087,195,2473,571,2268,60,1366,1203,14025,1940,15966,20436
673,683,129,283,830,529,102,1019,212,1028,93,606,545,6061,981,7043,7536
674,571,122,223,605,345,62,784,181,719,19,433,381,4451,615,5067,5776
675,806,197,329,882,499,90,1029,258,995,48,625,516,6282,903,7186,7474
676,200,37,83,243,155,29,298,62,301,27,177,159,1775,287,2062,2413
677,6858,1653,3040,7867,4474,632,8986,2164,8293,510,5824,5009,55291,8074,63365,81108
678,3890,644,1768,7645,2430,484,4624,1235,3896,1093,3932,2927,34568,6001,40570,48278
679,13237,2596,5129,16068,8044,1766,17962,4043,16685,766,10258,9853,106390,16344,122735,133781
680,919,186,376,1197,627,114,1232,285,1160,111,784,679,7677,1179,8856,11248
681,540,109,195,679,397,82,782,162,729,48,439,421,4590,687,5278,6334
682,1335,221,606,2624,834,166,1587,424,1337,375,1349,1004,11865,2060,13925,14203
683,104,21,37,130,76,15,150,31,140,9,84,81,884,132,1016,1148
684,35195,7528,13802,37328,21268,3826,48370,11167,44355,1192,26726,23526,274288,37956,312244,402795
685,2334,386,1060,4587,1458,290,2774,741,2338,656,2359,1756,20741,3601,24342,29697
686,229,46,94,298,156,28,307,71,289,27,195,169,1916,294,2210,2210
687,1340,253,557,1628,1039,200,1999,417,2017,184,1189,1069,11892,1926,13819,15891
688,4554,921,1865,5932,3108,569,6105,1415,5745,554,3887,3363,38024,5843,43867,55273
689,64858,13121,26562,84486,44270,8107,86940,20161,81819,7893,55364,47897,541481,83206,624688,737132
690,793,176,305,865,535,90,1054,235,937,77,628,566,6266,904,7170,8676
691,3747,758,1534,4881,2557,468,5022,1164,4727,456,3198,2767,31283,4807,36090,37895
692,3427,696,1241,4310,2523,522,4962,1028,4624,309,2787,2674,29109,4360,33470,37486
693,8473,1600,3520,10291,6566,1267,12633,2636,12748,1164,7513,6758,75148,12172,87321,96053
694,2144,420,830,2603,1303,286,2909,655,2703,124,1661,1596,17235,2647,19883,20877
695,1631,308,677,1981,1264,243,2432,507,2454,224,1446,1301,14469,2343,16813,17654
696,6759,1445,2650,7169,4084,734,9289,2144,8518,228,5132,4518,52677,7289,59967,71961
697,34639,7007,14186,45122,23643,4329,46432,10767,43698,4215,29568,25580,289193,44438,333632,387013
698,1366,277,495,1718,1005,208,1977,409,1843,123,1111,1066,11603,1738,13341,17077
699,81110,16408,33218,105657,55363,10138,108725,25213,102322,9872,69237,59899,677169,104056,781226,992157
700,265,53,96,333,195,40,384,79,358,23,215,207,2255,337,2593,2774
701,2640,534,1081,3440,1802,330,3540,820,3331,321,2254,1950,22048,3387,25436,30523
702,9346,1890,3827,12174,6379,1168,12528,2905,11790,1137,7977,6901,78027,11990,90017,107120
703,3089,583,1283,3751,2393,461,4605,961,4647,424,2739,2463,27396,4437,31834,32471
